
2024/04/13 (13:46:17) | ===> btop++ v.1.3.2
2024/04/13 (13:46:17) | ERROR: Stall in Runner thread, restarting!
2024/04/13 (13:46:17) | ERROR: Failed to re-create _runner thread!

2024/09/24 (22:33:24) | ===> btop++ v.1.4.0
2024/09/24 (22:33:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/25 (08:49:52) | ===> btop++ v.1.4.0
2024/09/25 (08:49:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/25 (09:45:13) | ===> btop++ v.1.4.0
2024/09/25 (09:45:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/27 (12:02:56) | ===> btop++ v.1.4.0
2024/09/27 (12:02:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/27 (12:11:33) | ===> btop++ v.1.4.0
2024/09/27 (12:11:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/27 (12:12:31) | ===> btop++ v.1.4.0
2024/09/27 (12:12:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/27 (12:13:24) | ===> btop++ v.1.4.0
2024/09/27 (12:13:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/28 (09:42:19) | ===> btop++ v.1.4.0
2024/09/28 (09:42:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/28 (09:42:45) | ===> btop++ v.1.4.0
2024/09/28 (09:42:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/29 (08:57:08) | ===> btop++ v.1.4.0
2024/09/29 (08:57:08) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (10:26:20) | ===> btop++ v.1.4.0
2024/10/01 (10:26:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/02 (17:57:38) | ===> btop++ v.1.4.0
2024/10/02 (17:57:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (12:12:34) | ===> btop++ v.1.4.0
2024/10/04 (12:12:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/12 (10:34:00) | ===> btop++ v.1.4.0
